route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
国道・古川線(35162),土日祝,土日祝_16時33分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
松森・浜館線(12061),土日祝,土日祝_16時34分_系統12061,H21戸山団地（松森・浜館線）,,,0,1,12061
浜田循環(80031),土日祝,土日祝_16時35分_系統80031,M35浜田循環→青森駅（旭町通り線）,,,1,1,80031
福祉増進センター(39291),土日祝,土日祝_16時37分_系統39291,60しあわせプラザ（福祉増進センター）,,,1,1,39291
石江・新城線(39081),土日祝,土日祝_16時38分_系統39081,T50西部〈営〉（石江・新城線）,,,0,1,39081
観光通り線(24011),土日祝,土日祝_16時40分_系統24011,K33学校教育センター（観光通り線）,,,0,1,24011
国道・古川線(45132),土日祝,土日祝_16時42分_系統45132,A1青森駅（国道・古川線）,,,1,1,45132
新町線(12142),土日祝,土日祝_16時45分_系統12142,B1明の星→青森駅（新町線）,,,1,1,12142
沖舘・新田線(45021),土日祝,土日祝_16時45分_系統45021,W53野木和団地（沖館・新田線）,,,0,1,45021
造道・八重田線(39202),土日祝,土日祝_16時48分_系統39202,C10県病→東部〈営〉（造道・八重田線）,,,1,1,39202
石江・新城線(39181),土日祝,土日祝_16時48分_系統39181,T50西部〈営〉（石江・新城線）,,,0,1,39181
国道・古川線(36252),土日祝,土日祝_16時50分_系統36252,A1西滝→青森駅（国道・古川線）,,,1,1,36252
国道・古川線(1051),土日祝,土日祝_16時50分_系統1051,A1青森駅（国道・古川線）,,,1,1,1051
国道・古川線(25052),土日祝,土日祝_16時52分_系統25052,A1青森駅（国道・古川線）,,,1,1,25052
観光通り線(22021),土日祝,土日祝_16時53分_系統22021,K37問屋町（観光通り線）,,,0,1,22021
旭町通り線(20121),土日祝,土日祝_16時54分_系統20121,M38南部工業団地（旭町通り線）,,,0,1,20121
造道・八重田線(1052),土日祝,土日祝_16時55分_系統1052,C10古川→東部〈営〉（造道・八重田線）,,,0,1,1052
横内環状線(14021),土日祝,土日祝_16時55分_系統14021,J32横内環状→青森駅（中筒井線）,,,1,1,14021
国道・古川線(37032),土日祝,土日祝_16時56分_系統37032,A1青森駅（国道・古川線）,,,1,1,37032
国道・古川線(41131),土日祝,土日祝_16時58分_系統41131,A1西バイパス→青森駅（国道・古川線）,,,1,1,41131
新町線(49092),土日祝,土日祝_17時00分_系統49092,B1青森駅（新町線）,,,1,1,49092
浜田循環(80041),土日祝,土日祝_17時00分_系統80041,K35浜田循環→青森駅（観光通り線）,,,1,1,80041
西バイパス線(41132),土日祝,土日祝_17時04分_系統41132,U50西部〈営〉（西バイパス線）,,,0,1,41132
中筒井線(15031),土日祝,土日祝_17時05分_系統15031,J20昭和大仏（中筒井線）,,,0,1,15031
新町線(8022),土日祝,土日祝_17時07分_系統8022,B1中筒井→青森駅（新町線）,,,1,1,8022
旭町通り線(33091),土日祝,土日祝_17時07分_系統33091,M44中大野→野木（旭町通り線）,,,0,1,33091
観光通り線(16031),土日祝,土日祝_17時10分_系統16031,K31公立大学（観光通り線）,,,0,1,16031
浪館通り線(38051),土日祝,土日祝_17時10分_系統38051,P41細越（浪館通り線）,,,0,1,38051
国道・古川線(35162),土日祝,土日祝_17時10分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
石江・新城線(39061),土日祝,土日祝_17時12分_系統39061,T50西部〈営〉（石江・新城線）,,,0,1,39061
国道・古川線(56021),土日祝,土日祝_17時13分_系統56021,A1東バイパス→青森駅（国道・古川線）,,,1,1,56021
国道・古川線(47032),土日祝,土日祝_17時14分_系統47032,A1青森駅（国道・古川線）,,,1,1,47032
国道・古川線(45132),土日祝,土日祝_17時14分_系統45132,A1青森駅（国道・古川線）,,,1,1,45132
県立美術館線(36201),土日祝,土日祝_17時15分_系統36201,S51三内丸山遺跡（県立美術館線）,,,0,1,36201
新町線(12082),土日祝,土日祝_17時15分_系統12082,B1明の星→青森駅（新町線）,,,1,1,12082
国道・古川線(39062),土日祝,土日祝_17時16分_系統39062,A1青森駅（国道・古川線）,,,1,1,39062
横内環状線(14022),土日祝,土日祝_17時20分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
